0.6	0.6	-032.29 nA
0.603922	0.603922	-032.59 nA
0.607843	0.607843	-032.89 nA
0.611765	0.611765	-033.19 nA
0.615686	0.615686	-033.50 nA
0.619608	0.619608	-033.84 nA
0.623529	0.623529	-034.16 nA
0.627451	0.627451	-034.50 nA
0.631373	0.631373	-034.83 nA
0.635294	0.635294	-035.15 nA
0.639216	0.639216	-035.46 nA
0.643137	0.643137	-035.77 nA
0.647059	0.647059	-036.11 nA
0.65098	0.65098	-036.40 nA
0.654902	0.654902	-036.74 nA
0.658824	0.658824	-037.04 nA
0.662745	0.662745	-037.36 nA
0.666667	0.666667	-037.69 nA
0.670588	0.670588	-038.01 nA
0.67451	0.67451	-038.36 nA
0.678431	0.678431	-038.65 nA
0.682353	0.682353	-038.97 nA
0.686275	0.686275	-039.30 nA
0.690196	0.690196	-039.68 nA
0.694118	0.694118	-039.99 nA
0.698039	0.698039	-040.32 nA
0.701961	0.701961	-040.67 nA
0.705882	0.705882	-041.01 nA
0.709804	0.709804	-041.35 nA
0.713726	0.713726	-041.65 nA
0.717647	0.717647	-042.01 nA
0.721569	0.721569	-042.30 nA
0.72549	0.72549	-042.68 nA
0.729412	0.729412	-043.01 nA
0.733333	0.733333	-043.38 nA
0.737255	0.737255	-043.71 nA
0.741176	0.741176	-044.02 nA
0.745098	0.745098	-044.39 nA
0.74902	0.74902	-044.74 nA
0.752941	0.752941	-045.15 nA
0.756863	0.756863	-045.49 nA
0.760784	0.760784	-045.83 nA
0.764706	0.764706	-046.19 nA
0.768627	0.768627	-046.58 nA
0.772549	0.772549	-046.86 nA
0.776471	0.776471	-047.23 nA
0.780392	0.780392	-047.65 nA
0.784314	0.784314	-047.98 nA
0.788235	0.788235	-048.36 nA
0.792157	0.792157	-048.71 nA
0.796078	0.796078	-049.04 nA
0.8	0.8	-049.38 nA
0.803922	0.803922	-049.75 nA
0.807843	0.807843	-050.13 nA
0.811765	0.811765	-050.48 nA
0.815686	0.815686	-050.89 nA
0.819608	0.819608	-051.28 nA
0.823529	0.823529	-051.63 nA
0.827451	0.827451	-052.01 nA
0.831373	0.831373	-052.36 nA
0.835294	0.835294	-052.73 nA
0.839216	0.839216	-053.08 nA
0.843137	0.843137	-053.48 nA
0.847059	0.847059	-053.87 nA
0.85098	0.85098	-054.22 nA
0.854902	0.854902	-054.59 nA
0.858824	0.858824	-055.00 nA
0.862745	0.862745	-055.39 nA
0.866667	0.866667	-055.76 nA
0.870588	0.870588	-056.10 nA
0.87451	0.87451	-056.52 nA
0.878431	0.878431	-056.93 nA
0.882353	0.882353	-057.28 nA
0.886275	0.886275	-057.68 nA
0.890196	0.890196	-058.06 nA
0.894118	0.894118	-058.38 nA
0.898039	0.898039	-058.82 nA
0.901961	0.901961	-059.22 nA
0.905882	0.905882	-059.61 nA
0.909804	0.909804	-060.04 nA
0.913725	0.913725	-060.37 nA
0.917647	0.917647	-060.78 nA
0.921569	0.921569	-061.16 nA
0.92549	0.92549	-061.58 nA
0.929412	0.929412	-062.00 nA
0.933333	0.933333	-062.40 nA
0.937255	0.937255	-062.75 nA
0.941176	0.941176	-063.28 nA
0.945098	0.945098	-063.71 nA
0.94902	0.94902	-064.11 nA
0.952941	0.952941	-064.52 nA
0.956863	0.956863	-064.93 nA
0.960784	0.960784	-065.32 nA
0.964706	0.964706	-065.74 nA
0.968627	0.968627	-066.08 nA
0.972549	0.972549	-066.54 nA
0.976471	0.976471	-066.91 nA
0.980392	0.980392	-067.36 nA
0.984314	0.984314	-067.75 nA
0.988235	0.988235	-068.19 nA
0.992157	0.992157	-068.61 nA
0.996078	0.996078	-069.01 nA
1	1	-069.42 nA
0	0	-000.01 nA
0.00392157	0.00392157	-000.01 nA
0.00784314	0.00784314	-000.01 nA
0.0117647	0.0117647	-000.01 nA
0.0156863	0.0156863	-000.01 nA
0.0196078	0.0196078	-000.01 nA
0.0235294	0.0235294	-000.01 nA
0.027451	0.027451	-000.01 nA
0.0313726	0.0313726	-000.01 nA
0.0352941	0.0352941	-000.01 nA
0.0392157	0.0392157	-000.01 nA
0.0431373	0.0431373	-000.01 nA
0.0470588	0.0470588	-000.01 nA
0.0509804	0.0509804	-000.01 nA
0.054902	0.054902	-000.01 nA
0.0588235	0.0588235	-000.01 nA
0.0627451	0.0627451	-000.01 nA
0.0666667	0.0666667	-000.01 nA
0.0705882	0.0705882	-000.01 nA
0.0745098	0.0745098	-000.02 nA
0.0784314	0.0784314	-000.02 nA
0.0823529	0.0823529	-000.03 nA
0.0862745	0.0862745	-000.03 nA
0.0901961	0.0901961	-000.04 nA
0.0941176	0.0941176	-000.05 nA
0.0980392	0.0980392	-000.06 nA
0.101961	0.101961	-000.07 nA
0.105882	0.105882	-000.09 nA
0.109804	0.109804	-000.11 nA
0.113725	0.113725	-000.13 nA
0.117647	0.117647	-000.16 nA
0.121569	0.121569	-000.20 nA
0.12549	0.12549	-000.26 nA
0.129412	0.129412	-000.31 nA
0.133333	0.133333	-000.38 nA
0.137255	0.137255	-000.46 nA
0.141176	0.141176	-000.55 nA
0.145098	0.145098	-000.66 nA
0.14902	0.14902	-000.78 nA
0.152941	0.152941	-000.92 nA
0.156863	0.156863	-001.08 nA
0.160784	0.160784	-001.26 nA
0.164706	0.164706	-001.43 nA
0.168627	0.168627	-001.63 nA
0.172549	0.172549	-001.83 nA
0.176471	0.176471	-002.06 nA
0.180392	0.180392	-002.30 nA
0.184314	0.184314	-002.54 nA
0.188235	0.188235	-002.82 nA
0.192157	0.192157	-003.08 nA
0.196078	0.196078	-003.33 nA
0.2	0.2	-003.59 nA
0.203922	0.203922	-003.86 nA
0.207843	0.207843	-004.13 nA
0.211765	0.211765	-004.41 nA
0.215686	0.215686	-004.69 nA
0.219608	0.219608	-004.98 nA
0.223529	0.223529	-005.28 nA
0.227451	0.227451	-005.58 nA
0.231373	0.231373	-005.89 nA
0.235294	0.235294	-006.20 nA
0.239216	0.239216	-006.50 nA
0.243137	0.243137	-006.81 nA
0.247059	0.247059	-007.12 nA
